GLON,GLAT,z,Mbh
17.33966,54.60693,0.02206,260.951
17.53545,-38.547,0.01955,210.449
17.54579,70.1694,0.01665,316.575
17.59613,-54.93578,0.01454,287.831
17.84597,23.21501,0.02451,226.663
17.93774,-23.87491,0.01989,153.049
18.07018,13.56808,0.02134,288.922
18.08862,-49.76134,0.0232,187.57
18.33595,-48.6226,0.02367,269.425
18.76317,-32.79595,0.02044,458.344
18.77694,-12.0197,0.02235,343.983
19.01737,-51.0782,0.02179,139.31
19.02132,-50.34254,0.02334,159.309
19.19201,-33.30415,0.01949,333.845
19.23826,-29.67036,0.0104,36.108
19.40254,-51.17776,0.02336,349.539
19.69684,48.78034,0.00609,38.088
19.7575,-43.01916,0.02178,166.044
19.78236,-36.41982,0.0198,182.849
19.9816,-51.86241,0.02308,549.821
20.05761,50.37791,0.01336,189.819
20.06578,-51.7532,0.02283,175.973
20.07809,-54.16925,0.00886,24.398
20.16092,-55.52397,0.01261,123.47
20.23328,-51.64388,0.01974,151.446
20.25081,-12.77,0.02381,203.848
20.31029,-53.04237,0.01955,188.14
20.56494,-51.98635,0.02065,340.876
20.71461,-23.71749,0.01993,121.588
20.72899,27.29101,0.02448,878.639
20.85188,-52.45623,0.02385,183.639
20.88769,-57.34902,0.00594,11.302
21.21774,61.93239,0.0197,189.81
21.43424,-70.32812,0.0234,190.275
21.56036,-31.0355,0.01958,275.981
21.70635,-24.32727,0.01952,246.902
21.96938,-35.1363,0.02009,228.652
22.00379,-57.25443,0.01282,70.549
22.24955,-51.69514,0.01811,201.362
22.26479,-51.87595,0.0181,120.642
22.32528,-55.44186,0.01343,62.414
22.58015,12.92838,0.02379,178.931
22.78236,-55.34655,0.01773,137.897
22.89523,88.27979,0.0239,249.826
22.89846,-55.08132,0.01757,241.423
22.91941,39.59181,0.01726,243.512
23.32953,-55.65569,0.01857,277.429
23.44291,-68.03821,0.00522,290.183
23.4498,9.41929,0.01404,60.577
23.64793,64.59929,0.01805,197.169
23.91784,50.34615,0.00655,60.053
23.95955,-68.2737,0.00522,46.071
24.34071,-48.09733,0.01157,69.24
24.58055,-55.50264,0.02345,180.0
24.63302,-59.37498,0.0118,90.204
24.68258,-28.69163,0.0109,356.058
25.01044,25.48665,0.02286,176.112
25.08292,15.38423,0.0233,540.271
25.37159,-25.53775,0.01937,143.733
26.03007,45.76391,0.00618,37.629
26.04506,88.87219,0.02156,269.032
26.58595,88.06622,0.0197,140.506
26.68151,-26.70363,0.01104,113.983
26.69286,57.99476,0.0159,188.902
26.92885,-54.04846,0.0164,118.078
26.93078,53.34116,0.01497,222.347
27.10722,-57.39986,0.01488,159.439
27.13221,10.52195,0.02478,589.916
27.5532,-87.29402,0.02295,209.756
27.63106,-58.95112,0.01918,305.085
27.72332,43.57377,0.01527,76.294
27.73686,24.02049,0.02342,294.858
27.75408,-60.35547,0.01129,141.086
27.85128,24.09934,0.0217,323.674
28.04954,-60.36812,0.01041,73.625
28.08729,24.29559,0.02252,273.382
28.10577,43.45207,0.0157,111.743
28.14692,45.54682,0.0174,171.686
